id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
1,莫愁新寓荷花里,鼓楼,205,41050元/平米,2室1厅1厨1卫,中楼层 (共5层),49.94㎡,平层,42.73㎡,板楼,南 北,砖混结构,精装,一梯两户,无,null,2020-06-30,房改房,2011-09-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2,深业滨江半岛,鼓楼,470,43926元/平米,3室1厅1厨2卫,高楼层 (共31层),107㎡,平层,暂无数据,塔楼,南 北,钢混结构,其他,两梯十九户,有,null,2020-06-30,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 220万元 工商银行
                              ",未上传房本照片
3,紫竹林3号,鼓楼,180,32811元/平米,2室1厅1厨1卫,中楼层 (共5层),54.86㎡,平层,暂无数据,板楼,南,砖混结构,毛坯,一梯三户,无,null,2020-07-16,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
4,锦绣江山花园西苑,鼓楼,448,49005元/平米,3室2厅1厨1卫,高楼层 (共6层),91.42㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,三梯两户,有,null,2019-07-31,商品房,2018-07-02,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
5,南秀村7号,鼓楼,348,55239元/平米,2室1厅1厨1卫,低楼层 (共4层),63㎡,平层,暂无数据,板楼,南 北,砖混结构,其他,一梯两户,无,null,2020-07-21,房改房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
6,二条巷(鼓楼),鼓楼,182,46787元/平米,2室1厅1厨1卫,低楼层 (共5层),38.9㎡,平层,暂无数据,板楼,东,砖混结构,精装,一梯四户,无,null,2020-07-20,房改房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
7,宝地园,鼓楼,280,49296元/平米,2室1厅1厨1卫,中楼层 (共6层),56.8㎡,平层,49㎡,板楼,南 北,砖混结构,其他,一梯两户,无,null,2020-07-18,商品房,2017-07-10,普通住宅,满两年,非共有,"
                                有抵押 76万元 招商银行 客户偿还
                              ",已上传房本照片
8,银城花园南片,鼓楼,528,64461元/平米,3室1厅1厨1卫,中楼层 (共7层),81.91㎡,平层,暂无数据,板楼,南,砖混结构,其他,一梯两户,无,null,2020-06-28,房改房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 260 客户偿还
                              ",未上传房本照片
9,工行新寓,鼓楼,160,30425元/平米,2室1厅1厨1卫,中楼层 (共7层),52.59㎡,平层,暂无数据,板塔结合,东,砖混结构,简装,一梯四户,无,null,2020-07-07,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片
10,东井一村,鼓楼,162,28678元/平米,2室1厅1厨1卫,低楼层 (共7层),56.49㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,一梯三户,无,null,2020-07-15,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
11,金陵世纪花园,鼓楼,740,60202元/平米,3室2厅1厨2卫,高楼层 (共6层),122.92㎡,错层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,无,null,2020-07-05,商品房,2003-08-02,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
12,凤凰西街188号,鼓楼,251,38675元/平米,2室1厅1厨1卫,中楼层 (共7层),64.9㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯三户,无,null,2020-06-29,房改房,2017-02-12,普通住宅,满两年,非共有,"
                                有抵押 100万元 客户偿还
                              ",已上传房本照片
